B,resp_1k,1,0.000013,0.000120,0.056344,0.057583,0.057609
B,resp_1k,2,0.000009,0.000046,0.014595,0.015610,0.015639
B,resp_1k,3,0.000009,0.000049,0.013859,0.014774,0.014799
B,resp_1k,4,0.000009,0.000043,0.013853,0.014725,0.014748
B,resp_1k,5,0.000008,0.000041,0.013747,0.014574,0.014593
B,resp_1k,6,0.000008,0.000035,0.013643,0.014400,0.014417
B,resp_1k,7,0.000008,0.000034,0.013671,0.014577,0.014598
B,resp_1k,8,0.000009,0.000041,0.013655,0.014459,0.014477
B,resp_1k,9,0.000010,0.000057,0.013455,0.014218,0.014236
B,resp_1k,10,0.000008,0.000030,0.013240,0.013998,0.014014
B,resp_1k,11,0.000008,0.000034,0.013512,0.014376,0.014394
B,resp_1k,12,0.000008,0.000037,0.013634,0.014728,0.014756
B,resp_1k,13,0.000007,0.000031,0.013253,0.014347,0.014361
B,resp_1k,14,0.000007,0.000029,0.013352,0.014464,0.014508
B,resp_1k,15,0.000008,0.000041,0.013756,0.014750,0.014775
B,resp_1k,16,0.000008,0.000041,0.013479,0.014750,0.014773
B,resp_1k,17,0.000008,0.000035,0.013437,0.014589,0.014605
B,resp_1k,18,0.000007,0.000029,0.013266,0.014500,0.014517
B,resp_1k,19,0.000007,0.000029,0.013498,0.014813,0.014831
B,resp_1k,20,0.000007,0.000028,0.013445,0.015175,0.015193
B,resp_1k,21,0.000009,0.000035,0.013145,0.014611,0.014626
B,resp_1k,22,0.000007,0.000026,0.013191,0.014686,0.014701
B,resp_1k,23,0.000007,0.000027,0.013281,0.014802,0.014816
B,resp_1k,24,0.000007,0.000027,0.013284,0.014595,0.014611
B,resp_1k,25,0.000007,0.000025,0.013156,0.014922,0.014936
B,resp_1k,26,0.000006,0.000029,0.013312,0.014687,0.014701
B,resp_1k,27,0.000008,0.000030,0.013101,0.014521,0.014534
B,resp_1k,28,0.000007,0.000026,0.013542,0.015018,0.015031
B,resp_1k,29,0.000010,0.000035,0.013449,0.014479,0.014493
B,resp_1k,30,0.000007,0.000027,0.013374,0.014866,0.014880
B,req_1k,1,0.000007,0.000028,0.013290,0.014719,0.014735
B,req_1k,2,0.000007,0.000026,0.013132,0.014567,0.014581
B,req_1k,3,0.000009,0.000032,0.013198,0.014662,0.014679
B,req_1k,4,0.000006,0.000023,0.013345,0.014604,0.014623
B,req_1k,5,0.000007,0.000026,0.012999,0.014423,0.014439
B,req_1k,6,0.000007,0.000027,0.013290,0.014427,0.014443
B,req_1k,7,0.000007,0.000026,0.013125,0.014582,0.014599
B,req_1k,8,0.000007,0.000030,0.013179,0.014657,0.014675
B,req_1k,9,0.000009,0.000031,0.013231,0.014789,0.014803
B,req_1k,10,0.000006,0.000024,0.013413,0.014831,0.014846
B,req_1k,11,0.000007,0.000029,0.013109,0.014564,0.014581
B,req_1k,12,0.000006,0.000025,0.013203,0.014626,0.014643
B,req_1k,13,0.000006,0.000023,0.013173,0.014609,0.014626
B,req_1k,14,0.000007,0.000027,0.013068,0.014506,0.014521
B,req_1k,15,0.000015,0.000035,0.013188,0.014650,0.014666
B,req_1k,16,0.000007,0.000026,0.013336,0.014730,0.014747
B,req_1k,17,0.000007,0.000026,0.013061,0.014442,0.014460
B,req_1k,18,0.000007,0.000028,0.013215,0.014693,0.014709
B,req_1k,19,0.000006,0.000026,0.013155,0.014393,0.014412
B,req_1k,20,0.000007,0.000026,0.013234,0.014765,0.014785
B,req_1k,21,0.000007,0.000026,0.013254,0.014347,0.014364
B,req_1k,22,0.000007,0.000027,0.013168,0.014623,0.014640
B,req_1k,23,0.000006,0.000029,0.013253,0.014519,0.014536
B,req_1k,24,0.000007,0.000026,0.013197,0.014722,0.014739
B,req_1k,25,0.000007,0.000031,0.013264,0.014635,0.014651
B,req_1k,26,0.000006,0.000026,0.013056,0.014360,0.014378
