A,resp_1k,1,0.000008,0.000166,0.002898,0.003464,0.003509
A,resp_1k,2,0.000008,0.000166,0.001789,0.002144,0.002191
A,resp_1k,3,0.000007,0.000147,0.000926,0.001195,0.001234
A,resp_1k,4,0.000007,0.000159,0.000893,0.001136,0.001167
A,resp_1k,5,0.000006,0.000163,0.000837,0.001064,0.001094
A,resp_1k,6,0.000005,0.000139,0.000779,0.000983,0.001011
A,resp_1k,7,0.000006,0.000161,0.000845,0.001082,0.001111
A,resp_1k,8,0.000006,0.000143,0.000794,0.001002,0.001029
A,resp_1k,9,0.000005,0.000134,0.000800,0.000987,0.001016
A,resp_1k,10,0.000005,0.000164,0.000829,0.001017,0.001046
A,resp_1k,11,0.000006,0.000105,0.000863,0.001301,0.001356
A,resp_1k,12,0.000007,0.000161,0.000850,0.001091,0.001122
A,resp_1k,13,0.000006,0.000158,0.000935,0.001214,0.001254
A,resp_1k,14,0.000006,0.000107,0.000774,0.000991,0.001021
A,resp_1k,15,0.000006,0.000149,0.000907,0.001098,0.001130
A,resp_1k,16,0.000005,0.000139,0.000796,0.000992,0.001020
A,resp_1k,17,0.000005,0.000159,0.000775,0.000965,0.000992
A,resp_1k,18,0.000006,0.000150,0.000789,0.000970,0.000997
A,resp_1k,19,0.000006,0.000107,0.000791,0.001005,0.001035
A,resp_1k,20,0.000007,0.000124,0.000780,0.000969,0.000998
A,resp_1k,21,0.000005,0.000146,0.000778,0.000971,0.001000
A,resp_1k,22,0.000006,0.000159,0.000795,0.000989,0.001016
A,resp_1k,23,0.000006,0.000172,0.000806,0.001037,0.001065
A,resp_1k,24,0.000005,0.000128,0.000757,0.000937,0.000964
A,resp_1k,25,0.000006,0.000145,0.000769,0.000961,0.000989
A,resp_1k,26,0.000005,0.000150,0.000780,0.000952,0.000980
A,resp_1k,27,0.000006,0.000164,0.000787,0.000971,0.001000
A,resp_1k,28,0.000005,0.000151,0.000765,0.000939,0.000968
A,resp_1k,29,0.000005,0.000133,0.000739,0.000910,0.000939
A,resp_1k,30,0.000005,0.000142,0.000742,0.000889,0.000913
A,req_1k,1,0.000006,0.000135,0.000748,0.000989,0.001015
A,req_1k,2,0.000007,0.000149,0.000797,0.001012,0.001034
A,req_1k,3,0.000007,0.000168,0.000794,0.001027,0.001050
A,req_1k,4,0.000007,0.000152,0.000860,0.001080,0.001109
A,req_1k,5,0.000007,0.000157,0.000827,0.001050,0.001078
A,req_1k,6,0.000007,0.000184,0.000850,0.001090,0.001115
A,req_1k,7,0.000006,0.000161,0.000792,0.000983,0.001006
A,req_1k,8,0.000006,0.000133,0.000777,0.000973,0.000996
A,req_1k,9,0.000007,0.000157,0.000776,0.000998,0.001021
A,req_1k,10,0.000006,0.000158,0.000798,0.000995,0.001020
A,req_1k,11,0.000007,0.000161,0.000786,0.000974,0.001000
A,req_1k,12,0.000006,0.000149,0.000767,0.000935,0.000959
A,req_1k,13,0.000006,0.000142,0.000762,0.000963,0.000987
A,req_1k,14,0.000007,0.000164,0.000861,0.001076,0.001101
A,req_1k,15,0.000006,0.000149,0.000780,0.000979,0.001002
A,req_1k,16,0.000007,0.000131,0.000796,0.000992,0.001015
A,req_1k,17,0.000006,0.000185,0.000895,0.001144,0.001169
A,req_1k,18,0.000006,0.000155,0.000774,0.000954,0.000974
A,req_1k,19,0.000007,0.000157,0.000808,0.001002,0.001028
A,req_1k,20,0.000006,0.000145,0.000793,0.000976,0.000998
A,req_1k,21,0.000009,0.000147,0.000824,0.000966,0.000989
A,req_1k,22,0.000007,0.000155,0.000795,0.000996,0.001021
A,req_1k,23,0.000006,0.000141,0.000771,0.000938,0.000960
A,req_1k,24,0.000006,0.000131,0.000743,0.000958,0.000982
A,req_1k,25,0.000006,0.000153,0.000764,0.000955,0.000979
A,req_1k,26,0.000007,0.000138,0.000810,0.001024,0.001050
A,req_1k,27,0.000006,0.000134,0.000758,0.000954,0.000977
A,req_1k,28,0.000006,0.000155,0.000862,0.001123,0.001148
A,req_1k,29,0.000008,0.000175,0.000863,0.001087,0.001112
A,req_1k,30,0.000006,0.000159,0.000825,0.001032,0.001056
A,resp_100k,1,0.000006,0.000151,0.000810,0.001019,0.001568
A,resp_100k,2,0.000006,0.000168,0.000802,0.000995,0.001542
A,resp_100k,3,0.000005,0.000136,0.000821,0.001017,0.001568
