B,resp_1k,1,0.000017,0.000083,0.062907,0.063985,0.107099
B,resp_1k,2,0.000011,0.000054,0.016256,0.017228,0.057618
B,resp_1k,3,0.000011,0.000072,0.017260,0.062221,0.062259
B,resp_1k,4,0.000013,0.000063,0.018398,0.020069,0.062881
B,resp_1k,5,0.000011,0.000071,0.018582,0.020000,0.062308
B,resp_1k,6,0.000011,0.000052,0.018793,0.020396,0.063330
B,resp_1k,7,0.000013,0.000069,0.019898,0.022155,0.062549
B,resp_1k,8,0.000013,0.000063,0.019756,0.021587,0.065463
B,resp_1k,9,0.000013,0.000051,0.019230,0.020939,0.064630
B,resp_1k,10,0.000012,0.000077,0.015703,0.017298,0.058514
B,resp_1k,11,0.000010,0.000041,0.016766,0.018483,0.059664
B,resp_1k,12,0.000011,0.000042,0.017452,0.019010,0.059460
B,resp_1k,13,0.000012,0.000045,0.018304,0.020011,0.062123
B,resp_1k,14,0.000014,0.000066,0.019650,0.021542,0.064850
B,resp_1k,15,0.000014,0.000061,0.019502,0.020972,0.062740
B,resp_1k,16,0.000013,0.000067,0.019438,0.021151,0.064894
B,resp_1k,17,0.000013,0.000049,0.019360,0.020881,0.064626
B,resp_1k,18,0.000012,0.000047,0.020091,0.021470,0.065821
B,resp_1k,19,0.000013,0.000050,0.020000,0.021376,0.065908
B,resp_1k,20,0.000016,0.000062,0.018539,0.020242,0.060842
B,resp_1k,21,0.000011,0.000045,0.018513,0.019689,0.060218
B,resp_1k,22,0.000014,0.000062,0.019207,0.020682,0.061726
B,resp_1k,23,0.000013,0.000053,0.019298,0.021104,0.061677
B,resp_1k,24,0.000012,0.000048,0.019045,0.020847,0.062103
B,resp_1k,25,0.000012,0.000045,0.019293,0.020510,0.063978
B,resp_1k,26,0.000014,0.000062,0.019413,0.021201,0.064851
B,resp_1k,27,0.000013,0.000050,0.019022,0.020692,0.062040
B,resp_1k,28,0.000012,0.000046,0.019379,0.020704,0.063681
B,resp_1k,29,0.000012,0.000049,0.019440,0.021149,0.064222
B,resp_1k,30,0.000013,0.000048,0.019726,0.021220,0.061842
B,req_1k,1,0.000009,0.000040,0.014958,0.016068,0.056739
B,req_1k,2,0.000016,0.000046,0.016092,0.017228,0.057907
B,req_1k,3,0.000010,0.000045,0.013568,0.014908,0.058995
B,req_1k,4,0.000011,0.000040,0.015753,0.017096,0.061778
B,req_1k,5,0.000011,0.000043,0.017397,0.018748,0.062673
B,req_1k,6,0.000010,0.000042,0.018373,0.019744,0.064364
B,req_1k,7,0.000013,0.000046,0.019112,0.020498,0.061017
B,req_1k,8,0.000012,0.000058,0.018605,0.020326,0.061197
B,req_1k,9,0.000011,0.000066,0.021708,0.023021,0.064166
B,req_1k,10,0.000010,0.000048,0.016365,0.059019,0.059051
B,req_1k,11,0.000010,0.000050,0.015116,0.016047,0.059001
B,req_1k,12,0.000011,0.000064,0.016791,0.017718,0.061706
B,req_1k,13,0.000017,0.000163,0.025594,0.066809,0.066898
B,req_1k,14,0.000010,0.000070,0.017168,0.059044,0.059088
B,req_1k,15,0.000010,0.000059,0.019073,0.021084,0.061610
B,req_1k,16,0.000010,0.000055,0.017243,0.018367,0.060075
B,req_1k,17,0.000010,0.000044,0.014262,0.056464,0.056497
B,req_1k,18,0.000009,0.000052,0.015414,0.016355,0.061271
B,req_1k,19,0.000011,0.000062,0.015048,0.015960,0.056550
B,req_1k,20,0.000010,0.000051,0.015495,0.016444,0.056686
B,req_1k,21,0.000010,0.000045,0.014955,0.016339,0.056847
B,req_1k,22,0.000008,0.000040,0.021148,0.022150,0.067112
B,req_1k,23,0.000011,0.000062,0.018591,0.019769,0.064008
B,req_1k,24,0.000014,0.000067,0.021131,0.022413,0.066424
B,req_1k,25,0.000015,0.000071,0.020181,0.021421,0.062061
B,req_1k,26,0.000013,0.000077,0.017593,0.061085,0.061123
B,req_1k,27,0.000009,0.000049,0.013599,0.015133,0.057646
B,req_1k,28,0.000011,0.000060,0.015929,0.059004,0.059040
B,req_1k,29,0.000012,0.000056,0.016996,0.017976,0.059228
B,req_1k,30,0.000012,0.000055,0.017806,0.018793,0.062644
B,resp_100k,1,0.000012,0.000060,0.018507,0.019829,0.020412
B,resp_100k,2,0.000010,0.000049,0.015696,0.017064,0.017499
B,resp_100k,3,0.000008,0.000034,0.014527,0.015957,0.016409
B,resp_100k,4,0.000008,0.000033,0.013251,0.014429,0.014859
B,resp_100k,5,0.000007,0.000034,0.012991,0.014230,0.014723
B,resp_100k,6,0.000007,0.000029,0.014000,0.015383,0.015844
B,resp_100k,7,0.000008,0.000027,0.013151,0.014659,0.015078
B,resp_100k,8,0.000007,0.000032,0.013077,0.014479,0.014883
B,resp_100k,9,0.000007,0.000029,0.013858,0.015628,0.016079
B,resp_100k,10,0.000009,0.000034,0.013380,0.014786,0.015067
B,resp_100k,11,0.000008,0.000031,0.013278,0.015013,0.015609
B,resp_100k,12,0.000008,0.000030,0.013281,0.015085,0.015500
B,resp_100k,13,0.000007,0.000028,0.013334,0.014841,0.015335
B,resp_100k,14,0.000007,0.000032,0.013119,0.014795,0.015292
B,resp_100k,15,0.000008,0.000031,0.013181,0.014777,0.015301
B,resp_100k,16,0.000008,0.000032,0.013220,0.014552,0.015045
B,resp_100k,17,0.000007,0.000029,0.012995,0.014365,0.014883
B,resp_100k,18,0.000008,0.000029,0.012986,0.014347,0.014896
B,resp_100k,19,0.000007,0.000027,0.013092,0.014262,0.014772
B,resp_100k,20,0.000007,0.000031,0.013324,0.014990,0.015547
B,resp_100k,21,0.000010,0.000032,0.013074,0.014673,0.015170
B,resp_100k,22,0.000007,0.000032,0.013657,0.015326,0.015907
