D,resp_1k,1,0.000017,0.000080,0.020784,0.022091,0.066299
D,resp_1k,2,0.000022,0.000073,0.021550,0.022712,0.065102
D,resp_1k,3,0.000014,0.000075,0.020240,0.021475,0.064939
D,resp_1k,4,0.000014,0.000061,0.019835,0.021539,0.063999
D,resp_1k,5,0.000013,0.000063,0.018820,0.020120,0.064192
D,resp_1k,6,0.000013,0.000053,0.019335,0.020669,0.064579
D,resp_1k,7,0.000013,0.000047,0.019434,0.021549,0.062895
D,resp_1k,8,0.000012,0.000049,0.019466,0.021329,0.063821
D,resp_1k,9,0.000014,0.000048,0.019910,0.021775,0.063387
D,resp_1k,10,0.000014,0.000062,0.019339,0.021042,0.061302
D,resp_1k,11,0.000013,0.000049,0.019951,0.021508,0.064904
D,resp_1k,12,0.000012,0.000045,0.019384,0.020820,0.064804
D,resp_1k,13,0.000012,0.000048,0.019806,0.021527,0.065791
D,resp_1k,14,0.000012,0.000043,0.019674,0.021406,0.063728
D,resp_1k,15,0.000013,0.000047,0.019834,0.021120,0.065673
D,resp_1k,16,0.000012,0.000045,0.019694,0.021436,0.061798
D,resp_1k,17,0.000014,0.000060,0.019708,0.020966,0.061694
D,resp_1k,18,0.000013,0.000052,0.018849,0.020631,0.061860
D,resp_1k,19,0.000013,0.000053,0.018734,0.020680,0.064731
D,resp_1k,20,0.000013,0.000045,0.019693,0.021460,0.064928
D,resp_1k,21,0.000012,0.000046,0.019553,0.020951,0.064910
D,resp_1k,22,0.000012,0.000047,0.019528,0.021279,0.064691
D,resp_1k,23,0.000012,0.000048,0.019359,0.021179,0.063221
D,resp_1k,24,0.000013,0.000047,0.019465,0.021389,0.063858
D,resp_1k,25,0.000012,0.000055,0.019424,0.021199,0.065167
D,resp_1k,26,0.000012,0.000046,0.019353,0.020963,0.064531
D,resp_1k,27,0.000012,0.000055,0.019598,0.020914,0.065136
D,resp_1k,28,0.000012,0.000044,0.019319,0.020958,0.063531
D,resp_1k,29,0.000012,0.000043,0.019497,0.021187,0.062291
D,resp_1k,30,0.000012,0.000048,0.019813,0.021379,0.065048
D,req_1k,1,0.000012,0.000047,0.019725,0.021171,0.063336
D,req_1k,2,0.000012,0.000050,0.019685,0.021479,0.062474
D,req_1k,3,0.000012,0.000045,0.019592,0.021335,0.065566
D,req_1k,4,0.000013,0.000045,0.019505,0.020748,0.063177
D,req_1k,5,0.000012,0.000052,0.019538,0.021370,0.062479
D,req_1k,6,0.000012,0.000044,0.019398,0.021142,0.062728
D,req_1k,7,0.000012,0.000045,0.019211,0.020660,0.062351
D,req_1k,8,0.000012,0.000042,0.019231,0.021095,0.062214
D,req_1k,9,0.000012,0.000042,0.020085,0.021943,0.063817
D,req_1k,10,0.000013,0.000057,0.018099,0.019922,0.061548
D,req_1k,11,0.000011,0.000046,0.018054,0.019897,0.063570
D,req_1k,12,0.000012,0.000056,0.019273,0.021111,0.064752
D,req_1k,13,0.000013,0.000050,0.019367,0.021038,0.065218
D,req_1k,14,0.000012,0.000045,0.019901,0.021593,0.065734
D,req_1k,15,0.000013,0.000050,0.020146,0.021863,0.065709
D,req_1k,16,0.000014,0.000053,0.020348,0.022310,0.063464
D,req_1k,17,0.000013,0.000049,0.020522,0.022373,0.064268
D,req_1k,18,0.000012,0.000052,0.019669,0.021496,0.064975
D,req_1k,19,0.000013,0.000046,0.019544,0.020870,0.064468
D,req_1k,20,0.000013,0.000048,0.019755,0.021466,0.064909
D,req_1k,21,0.000012,0.000045,0.019883,0.021570,0.065471
D,req_1k,22,0.000012,0.000048,0.019772,0.021042,0.062265
D,req_1k,23,0.000012,0.000045,0.019479,0.021169,0.063062
D,req_1k,24,0.000012,0.000046,0.021502,0.023355,0.066388
D,req_1k,25,0.000013,0.000057,0.019666,0.021359,0.065039
D,req_1k,26,0.000013,0.000050,0.019059,0.020794,0.061021
D,req_1k,27,0.000013,0.000044,0.018828,0.020603,0.063156
D,req_1k,28,0.000013,0.000048,0.019282,0.020991,0.061706
D,req_1k,29,0.000013,0.000055,0.019514,0.021307,0.064698
D,req_1k,30,0.000012,0.000046,0.019778,0.021557,0.062614
D,resp_100k,1,0.000017,0.000059,0.019360,0.021238,0.021762
D,resp_100k,2,0.000010,0.000050,0.016172,0.018010,0.018577
D,resp_100k,3,0.000009,0.000033,0.014458,0.016079,0.016483
D,resp_100k,4,0.000007,0.000032,0.013755,0.015424,0.015931
D,resp_100k,5,0.000007,0.000028,0.013124,0.014715,0.015242
D,resp_100k,6,0.000008,0.000028,0.013239,0.014897,0.015381
D,resp_100k,7,0.000007,0.000028,0.013251,0.015044,0.015574
D,resp_100k,8,0.000007,0.000033,0.013169,0.014922,0.015272
D,resp_100k,9,0.000007,0.000029,0.013357,0.014757,0.015273
D,resp_100k,10,0.000007,0.000028,0.013163,0.014552,0.015043
D,resp_100k,11,0.000007,0.000027,0.013149,0.014817,0.015294
D,resp_100k,12,0.000007,0.000029,0.013114,0.014707,0.015206
D,resp_100k,13,0.000007,0.000026,0.013160,0.014720,0.015191
D,resp_100k,14,0.000008,0.000028,0.013176,0.014863,0.015406
D,resp_100k,15,0.000007,0.000035,0.013177,0.014799,0.015225
D,resp_100k,16,0.000007,0.000030,0.013223,0.014525,0.014964
D,resp_100k,17,0.000008,0.000030,0.013253,0.014770,0.015215
D,resp_100k,18,0.000007,0.000030,0.013192,0.014783,0.015252
D,resp_100k,19,0.000007,0.000031,0.013198,0.014756,0.015185
D,resp_100k,20,0.000007,0.000027,0.013137,0.014748,0.015201
D,resp_100k,21,0.000009,0.000040,0.013274,0.014925,0.015409
D,resp_100k,22,0.000007,0.000029,0.013138,0.014394,0.014877
D,resp_100k,23,0.000008,0.000030,0.013035,0.014666,0.015176
D,resp_100k,24,0.000008,0.000028,0.013182,0.014789,0.015181
D,resp_100k,25,0.000007,0.000039,0.013065,0.016282,0.016751
D,resp_100k,26,0.000007,0.000027,0.013152,0.014920,0.015402
D,resp_100k,27,0.000009,0.000032,0.013157,0.014817,0.015264
D,resp_100k,28,0.000007,0.000030,0.013050,0.014822,0.015367
D,resp_100k,29,0.000008,0.000028,0.013224,0.014400,0.014841
D,resp_100k,30,0.000008,0.000032,0.013249,0.015103,0.015535
D,req_100k,1,0.000008,0.000033,0.013230,0.013266,0.057024
D,req_100k,2,0.000009,0.000043,0.015142,0.015170,0.060920
D,req_100k,3,0.000011,0.000045,0.017106,0.017137,0.062819
D,req_100k,4,0.000011,0.000041,0.018609,0.018641,0.064900
D,req_100k,5,0.000013,0.000046,0.019308,0.019340,0.065732
D,req_100k,6,0.000012,0.000045,0.019411,0.019444,0.066718
D,req_100k,7,0.000012,0.000048,0.019468,0.019500,0.065094
D,req_100k,8,0.000012,0.000044,0.019657,0.019690,0.062622
D,req_100k,9,0.000012,0.000051,0.018730,0.018763,0.065405
D,req_100k,10,0.000012,0.000049,0.019194,0.019226,0.065586
D,req_100k,11,0.000012,0.000045,0.019566,0.019599,0.065750
D,req_100k,12,0.000012,0.000047,0.020151,0.020192,0.067449
D,req_100k,13,0.000012,0.000048,0.019590,0.019666,0.062601
D,req_100k,14,0.000013,0.000047,0.019169,0.019202,0.061678
D,req_100k,15,0.000011,0.000041,0.018750,0.018789,0.064952
D,req_100k,16,0.000012,0.000047,0.019375,0.019407,0.065749
D,req_100k,17,0.000012,0.000045,0.019630,0.019661,0.066475
D,req_100k,18,0.000012,0.000043,0.019635,0.019667,0.066556
D,req_100k,19,0.000012,0.000044,0.019944,0.019986,0.062863
D,req_100k,20,0.000013,0.000049,0.019450,0.019483,0.064607
D,req_100k,21,0.000012,0.000049,0.019050,0.019082,0.065719
D,req_100k,22,0.000011,0.000045,0.020023,0.020056,0.065701
D,req_100k,23,0.000013,0.000048,0.019539,0.019571,0.066315
D,req_100k,24,0.000019,0.000051,0.019836,0.019878,0.066711
D,req_100k,25,0.000012,0.000050,0.019737,0.019767,0.066658
D,req_100k,26,0.000011,0.000046,0.019634,0.019666,0.065021
D,req_100k,27,0.000012,0.000045,0.019273,0.019305,0.066197
D,req_100k,28,0.000012,0.000045,0.019797,0.019830,0.062945
D,req_100k,29,0.000012,0.000047,0.019604,0.019645,0.066394
D,req_100k,30,0.000020,0.000099,0.020566,0.020604,0.062822
