rung,cell                   n med_total       IQR  med_conn med_appconn  med_ttfb  (ms)
A,ka100_req89              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req9               30     0.07     0.02     0.00        0.00     0.06
A,ka100_req90              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req91              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req92              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req93              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req94              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req95              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req96              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req97              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req98              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req99              30     0.06     0.01     0.00        0.00     0.05
A,ka10_req1                30     0.95     0.12     0.12        0.76     0.93
A,ka10_req10               30     0.09     0.03     0.00        0.00     0.07
A,ka10_req2                30     0.08     0.03     0.00        0.00     0.08
A,ka10_req3                30     0.08     0.02     0.00        0.00     0.07
A,ka10_req4                30     0.08     0.02     0.00        0.00     0.07
A,ka10_req5                30     0.08     0.03     0.00        0.00     0.07
A,ka10_req6                30     0.08     0.02     0.00        0.00     0.07
A,ka10_req7                30     0.10     0.04     0.00        0.00     0.07
A,ka10_req8                30     0.09     0.03     0.00        0.00     0.07
A,ka10_req9                30     0.10     0.03     0.00        0.00     0.07
A,ka1_req1                 30     0.88     0.12     0.07        0.70     0.85
A,req_100k                 30     1.49     0.09     0.15        0.80     1.47
A,req_10240k               30    59.04     0.54     0.11        0.85    58.98
A,req_1024k                30     6.63     0.24     0.14        0.83     6.60
A,req_1k                   30     1.04     0.12     0.15        0.80     1.02
A,resp_100k                30     1.52     0.11     0.14        0.79     0.98
A,resp_10240k              30    52.70     0.38     0.16        0.86     1.09
A,resp_1024k               30     6.21     0.13     0.15        0.80     1.00
A,resp_1k                  30     1.01     0.15     0.15        0.79     0.98
B,ka100_req1               30    75.45     4.12     0.19       30.74    33.28
B,ka100_req10              30    43.50     1.89     0.00        0.00     2.21
B,ka100_req100             30    43.31     1.25     0.00        0.00     2.27
B,ka100_req11              30    43.61     1.33     0.00        0.00     2.20
B,ka100_req12              30    43.71     1.20     0.00        0.00     2.12
B,ka100_req13              30    43.27     1.12     0.00        0.00     2.24
B,ka100_req14              30    43.44     1.84     0.00        0.00     2.11
B,ka100_req15              30    43.46     0.82     0.00        0.00     2.27
B,ka100_req16              30    43.58     1.55     0.00        0.00     2.19
B,ka100_req17              30    43.33     1.34     0.00        0.00     2.10
B,ka100_req18              30    43.41     0.89     0.00        0.00     2.21
B,ka100_req19              30    43.67     1.09     0.00        0.00     2.11
B,ka100_req2               30    45.39     3.82     0.00        0.00     0.92
B,ka100_req20              30    43.48     1.07     0.00        0.00     2.01
B,ka100_req21              30    43.26     1.17     0.00        0.00     2.15
B,ka100_req22              30    43.47     1.71     0.00        0.00     2.15
B,ka100_req23              30    43.16     1.10     0.00        0.00     2.15
B,ka100_req24              30    43.60     1.51     0.00        0.00     2.21
B,ka100_req25              30    43.40     1.09     0.00        0.00     2.15
B,ka100_req26              30    43.58     1.36     0.00        0.00     2.11
B,ka100_req27              30    43.05     1.21     0.00        0.00     2.14
B,ka100_req28              30    43.69     1.21     0.00        0.00     2.08
B,ka100_req29              30    43.61     2.24     0.00        0.00     2.08
B,ka100_req3               30    43.12     2.40     0.00        0.00     1.58
B,ka100_req30              30    43.03     0.94     0.00        0.00     2.05
B,ka100_req31              30    43.65     1.77     0.00        0.00     2.16
B,ka100_req32              30    43.24     1.34     0.00        0.00     2.03
B,ka100_req33              30    43.64     1.74     0.00        0.00     2.13
B,ka100_req34              30    43.51     1.42     0.00        0.00     2.14
B,ka100_req35              30    43.80     2.31     0.00        0.00     2.10
B,ka100_req36              30    43.59     1.50     0.00        0.00     2.20
B,ka100_req37              30    43.57     0.60     0.00        0.00     2.10
B,ka100_req38              30    43.63     1.09     0.00        0.00     2.21
B,ka100_req39              30    43.51     1.33     0.00        0.00     2.18
B,ka100_req4               30    42.96     1.82     0.00        0.00     1.94
B,ka100_req40              30    43.20     0.89     0.00        0.00     2.24
B,ka100_req41              30    43.09     1.21     0.00        0.00     1.89
B,ka100_req42              30    43.50     1.92     0.00        0.00     2.16
B,ka100_req43              30    43.36     1.00     0.00        0.00     2.00
B,ka100_req44              30    43.39     0.81     0.00        0.00     2.11
B,ka100_req45              30    43.20     1.27     0.00        0.00     2.05
B,ka100_req46              30    43.47     1.22     0.00        0.00     2.10
B,ka100_req47              30    43.26     1.42     0.00        0.00     2.05
B,ka100_req48              30    43.58     1.09     0.00        0.00     2.12
B,ka100_req49              30    43.58     1.13     0.00        0.00     2.13
B,ka100_req5               30    43.32     1.72     0.00        0.00     2.13
B,ka100_req50              30    43.24     1.04     0.00        0.00     2.17
B,ka100_req51              30    43.70     2.36     0.00        0.00     1.96
B,ka100_req52              30    43.16     1.69     0.00        0.00     2.09
B,ka100_req53              30    43.72     1.82     0.00        0.00     2.06
B,ka100_req54              30    43.26     1.29     0.00        0.00     1.97
B,ka100_req55              30    43.13     0.67     0.00        0.00     1.96
B,ka100_req56              30    43.19     1.23     0.00        0.00     2.14
B,ka100_req57              30    43.53     1.95     0.00        0.00     2.11
B,ka100_req58              30    43.40     1.46     0.00        0.00     2.06
B,ka100_req59              30    43.44     1.21     0.00        0.00     2.06
B,ka100_req6               30    43.49     1.26     0.00        0.00     2.10
B,ka100_req60              30    43.14     1.14     0.00        0.00     2.05
B,ka100_req61              30    43.50     1.25     0.00        0.00     2.19
B,ka100_req62              30    43.31     1.13     0.00        0.00     2.16
B,ka100_req63              30    43.24     1.37     0.00        0.00     2.16
B,ka100_req64              30    43.41     1.57     0.00        0.00     2.23
B,ka100_req65              30    43.18     1.61     0.00        0.00     2.03
B,ka100_req66              30    43.47     1.40     0.00        0.00     2.09
B,ka100_req67              30    43.52     1.08     0.00        0.00     2.13
B,ka100_req68              30    43.35     0.80     0.00        0.00     2.15
B,ka100_req69              30    43.57     1.61     0.00        0.00     2.05
B,ka100_req7               30    43.50     1.65     0.00        0.00     2.10
B,ka100_req70              30    43.48     1.52     0.00        0.00     2.18
B,ka100_req71              30    43.86     1.40     0.00        0.00     2.18
B,ka100_req72              30    43.28     1.18     0.00        0.00     2.07
B,ka100_req73              30    43.36     1.25     0.00        0.00     2.19
B,ka100_req74              30    43.66     1.32     0.00        0.00     2.21
B,ka100_req75              30    43.06     0.84     0.00        0.00     2.22
B,ka100_req76              30    43.27     0.95     0.00        0.00     2.10
B,ka100_req77              30    43.55     1.94     0.00        0.00     2.09
B,ka100_req78              30    43.71     1.95     0.00        0.00     2.17
B,ka100_req79              30    43.11     1.57     0.00        0.00     2.09
B,ka100_req8               30    43.45     0.98     0.00        0.00     2.16
B,ka100_req80              30    43.47     1.07     0.00        0.00     2.20
B,ka100_req81              30    43.47     1.18     0.00        0.00     2.07
B,ka100_req82              30    43.34     1.50     0.00        0.00     2.11
B,ka100_req83              30    43.24     1.11     0.00        0.00     2.02
B,ka100_req84              30    43.28     1.11     0.00        0.00     2.13
B,ka100_req85              30    43.65     2.46     0.00        0.00     2.26
B,ka100_req86              30    43.16     1.28     0.00        0.00     2.11
B,ka100_req87              30    43.56     1.00     0.00        0.00     2.23
B,ka100_req88              30    43.49     1.52     0.00        0.00     2.31
B,ka100_req89              30    43.43     1.69     0.00        0.00     2.24
B,ka100_req9               30    43.41     1.37     0.00        0.00     2.12
B,ka100_req90              30    43.54     1.32     0.00        0.00     2.21
B,ka100_req91              30    43.43     1.85     0.00        0.00     2.14
B,ka100_req92              30    43.56     1.45     0.00        0.00     2.16
B,ka100_req93              30    43.71     1.25     0.00        0.00     2.19
B,ka100_req94              30    43.20     1.70     0.00        0.00     2.19
B,ka100_req95              30    43.69     1.24     0.00        0.00     2.13
B,ka100_req96              30    44.36     1.51     0.00        0.00     2.23
B,ka100_req97              30    43.72     1.94     0.00        0.00     2.21
B,ka100_req98              30    43.62     1.68     0.00        0.00     2.18
B,ka100_req99              30    43.15     1.15     0.00        0.00     2.27
B,ka10_req1                30    74.60     3.68     0.19       31.33    72.75
B,ka10_req10               30    43.49     1.54     0.00        0.00     1.81
B,ka10_req2                30    43.26     3.78     0.00        0.00     0.98
B,ka10_req3                30    42.90     2.25     0.00        0.00     1.49
B,ka10_req4                30    42.78     1.48     0.00        0.00     1.78
B,ka10_req5                30    43.01     1.72     0.00        0.00     1.83
B,ka10_req6                30    43.13     1.40     0.00        0.00     1.76
B,ka10_req7                30    43.30     1.13     0.00        0.00     1.87
B,ka10_req8                30    42.88     0.85     0.00        0.00     1.82
B,ka10_req9                30    43.01     0.88     0.00        0.00     1.79
B,ka1_req1                 30    62.84     3.69     0.05       19.23    20.84
B,req_100k                 30    64.01     3.44     0.05       19.40    19.44
B,req_10240k               30    90.41     3.59     0.07       15.47    15.50
B,req_1024k                30    63.73     1.61     0.07       17.96    18.00
B,req_1k                   30    61.07     3.93     0.05       17.08    19.27
B,resp_100k                30    15.21     0.78     0.03       13.28    14.76
B,resp_10240k              30    58.57     2.98     0.04       13.68    15.17
B,resp_1024k               30    23.18     3.57     0.06       16.34    17.68
B,resp_1k                  30    62.64     2.97     0.05       19.26    20.86
C,hdr_12k                  30    63.78     1.73     0.05       19.31    21.33
C,hdr_1k                   30    64.94     2.13     0.05       19.78    21.35
C,hdr_4k                   30    63.94     2.74     0.05       19.47    21.31
C,ka100_req1               30    75.05     3.85     0.17       30.77    33.35
C,ka100_req10              30    44.29     0.71     0.00        0.00     3.19
C,ka100_req100             30    44.49     0.99     0.00        0.00     3.22
C,ka100_req11              30    44.45     0.97     0.00        0.00     3.30
C,ka100_req12              30    44.30     0.84     0.00        0.00     3.26
C,ka100_req13              30    44.62     0.98     0.00        0.00     3.19
C,ka100_req14              30    44.45     0.90     0.00        0.00     3.03
C,ka100_req15              30    44.51     1.18     0.00        0.00     3.32
C,ka100_req16              30    44.44     1.50     0.00        0.00     3.24
C,ka100_req17              30    44.43     0.85     0.00        0.00     3.31
C,ka100_req18              30    44.26     0.76     0.00        0.00     3.33
C,ka100_req19              30    44.21     0.73     0.00        0.00     3.17
C,ka100_req2               30    44.60     3.34     0.00        0.00     1.37
C,ka100_req20              30    44.02     0.94     0.00        0.00     3.22
C,ka100_req21              30    44.35     1.03     0.00        0.00     3.34
C,ka100_req22              30    44.49     1.16     0.00        0.00     3.29
C,ka100_req23              30    44.24     1.00     0.00        0.00     3.19
C,ka100_req24              30    44.24     0.96     0.00        0.00     3.07
C,ka100_req25              30    44.63     1.33     0.00        0.00     3.06
C,ka100_req26              30    44.33     0.72     0.00        0.00     3.17
C,ka100_req27              30    44.42     0.55     0.00        0.00     3.30
C,ka100_req28              30    44.40     1.08     0.00        0.00     3.32
C,ka100_req29              30    44.45     0.78     0.00        0.00     3.37
C,ka100_req3               30    43.84     1.24     0.00        0.00     2.50
C,ka100_req30              30    44.34     0.91     0.00        0.00     3.28
C,ka100_req31              30    44.47     0.82     0.00        0.00     3.22
C,ka100_req32              30    44.20     0.85     0.00        0.00     3.17
C,ka100_req33              30    44.19     0.94     0.00        0.00     3.05
C,ka100_req34              30    44.18     0.99     0.00        0.00     3.15
C,ka100_req35              30    44.53     1.12     0.00        0.00     3.14
C,ka100_req36              30    44.22     0.87     0.00        0.00     3.01
C,ka100_req37              30    44.20     0.66     0.00        0.00     3.19
C,ka100_req38              30    44.42     0.86     0.00        0.00     3.08
C,ka100_req39              30    44.31     1.08     0.00        0.00     3.29
C,ka100_req4               30    44.18     0.94     0.00        0.00     3.18
C,ka100_req40              30    44.55     0.83     0.00        0.00     3.30
C,ka100_req41              30    44.25     0.67     0.00        0.00     3.30
C,ka100_req42              30    44.03     1.12     0.00        0.00     3.22
C,ka100_req43              30    44.33     1.34     0.00        0.00     3.34
C,ka100_req44              30    44.31     0.87     0.00        0.00     3.23
C,ka100_req45              30    44.58     1.12     0.00        0.00     3.26
C,ka100_req46              30    44.48     1.03     0.00        0.00     3.14
C,ka100_req47              30    44.59     1.17     0.00        0.00     3.19
C,ka100_req48              30    44.52     0.84     0.00        0.00     3.23
C,ka100_req49              30    44.48     0.88     0.00        0.00     3.27
C,ka100_req5               30    44.30     0.88     0.00        0.00     3.22
C,ka100_req50              30    44.27     0.95     0.00        0.00     3.18
C,ka100_req51              30    44.44     1.14     0.00        0.00     3.32
C,ka100_req52              30    44.42     0.91     0.00        0.00     3.27
C,ka100_req53              30    44.43     0.78     0.00        0.00     3.17
C,ka100_req54              30    44.42     0.91     0.00        0.00     3.34
C,ka100_req55              30    44.22     0.72     0.00        0.00     3.25
C,ka100_req56              30    44.16     0.79     0.00        0.00     3.20
C,ka100_req57              30    44.29     1.18     0.00        0.00     3.16
C,ka100_req58              30    44.49     1.24     0.00        0.00     3.14
C,ka100_req59              30    44.15     1.05     0.00        0.00     3.20
C,ka100_req6               30    44.39     0.78     0.00        0.00     3.26
C,ka100_req60              30    44.36     1.14     0.00        0.00     3.27
C,ka100_req61              30    44.39     1.08     0.00        0.00     3.31
C,ka100_req62              30    44.42     0.70     0.00        0.00     3.25
C,ka100_req63              30    44.51     0.86     0.00        0.00     3.33
C,ka100_req64              30    44.36     0.88     0.00        0.00     3.29
C,ka100_req65              30    44.47     0.87     0.00        0.00     3.23
C,ka100_req66              30    44.77     0.94     0.00        0.00     3.31
C,ka100_req67              30    44.31     1.42     0.00        0.00     3.19
C,ka100_req68              30    44.35     1.09     0.00        0.00     3.02
C,ka100_req69              30    44.10     1.04     0.00        0.00     3.21
C,ka100_req7               30    44.49     0.91     0.00        0.00     3.34
C,ka100_req70              30    44.39     0.88     0.00        0.00     3.13
C,ka100_req71              30    44.31     0.96     0.00        0.00     3.10
C,ka100_req72              30    44.34     0.92     0.00        0.00     3.12
C,ka100_req73              30    44.44     1.08     0.00        0.00     3.34
C,ka100_req74              30    44.51     0.63     0.00        0.00     3.38
C,ka100_req75              30    44.26     0.90     0.00        0.00     3.26
C,ka100_req76              30    44.36     0.62     0.00        0.00     3.20
C,ka100_req77              30    44.52     1.06     0.00        0.00     3.45
C,ka100_req78              30    44.46     1.16     0.00        0.00     3.10
C,ka100_req79              30    44.45     0.96     0.00        0.00     3.35
C,ka100_req8               30    44.45     0.72     0.00        0.00     3.19
C,ka100_req80              30    44.39     1.16     0.00        0.00     3.12
C,ka100_req81              30    44.31     1.04     0.00        0.00     3.06
C,ka100_req82              30    44.35     0.86     0.00        0.00     3.18
C,ka100_req83              30    44.69     0.85     0.00        0.00     3.41
C,ka100_req84              30    44.55     0.81     0.00        0.00     3.24
C,ka100_req85              30    44.18     1.00     0.00        0.00     3.31
C,ka100_req86              30    44.40     0.75     0.00        0.00     3.21
C,ka100_req87              30    44.45     0.95     0.00        0.00     3.25
C,ka100_req88              30    44.07     0.87     0.00        0.00     3.10
C,ka100_req89              30    44.35     1.16     0.00        0.00     3.31
C,ka100_req9               30    44.40     0.87     0.00        0.00     3.41
C,ka100_req90              30    44.45     1.23     0.00        0.00     3.10
C,ka100_req91              30    44.30     1.04     0.00        0.00     3.18
C,ka100_req92              30    44.37     0.90     0.00        0.00     3.12
C,ka100_req93              30    44.49     0.83     0.00        0.00     3.28
C,ka100_req94              30    44.30     0.68     0.00        0.00     3.15
C,ka100_req95              30    44.36     0.93     0.00        0.00     3.31
C,ka100_req96              30    44.23     1.03     0.00        0.00     3.23
C,ka100_req97              30    44.19     0.91     0.00        0.00     3.33
C,ka100_req98              30    44.60     1.07     0.00        0.00     3.28
C,ka100_req99              30    44.02     0.89     0.00        0.00     3.04
C,ka10_req1                30    75.31     2.73     0.17       30.65    33.55
C,ka10_req10               30    44.45     1.28     0.00        0.00     3.34
C,ka10_req2                30    43.58     3.63     0.00        0.00     1.33
C,ka10_req3                30    43.23     0.89     0.00        0.00     2.29
C,ka10_req4                30    44.05     1.04     0.00        0.00     3.02
C,ka10_req5                30    44.06     1.19     0.00        0.00     3.13
C,ka10_req6                30    44.27     0.94     0.00        0.00     3.16
C,ka10_req7                30    44.51     1.12     0.00        0.00     3.14
C,ka10_req8                30    44.34     1.20     0.00        0.00     3.07
C,ka10_req9                30    44.58     1.17     0.00        0.00     3.33
C,ka1_req1                 30    63.00     4.02     0.05       19.43    21.14
C,req_100k                 30    64.15     3.35     0.05       19.39    19.42
C,req_10240k               30    90.06     3.78     0.07       15.47    15.50
C,req_1024k                30    64.98     1.47     0.05       18.27    18.31
C,req_1k                   30    64.09     2.54     0.06       19.63    21.37
C,resp_100k                30    15.88     3.44     0.04       13.67    15.37
C,resp_10240k              30    59.04     2.74     0.04       13.60    15.31
C,resp_1024k               30    19.22     0.38     0.03       13.34    15.01
C,resp_1k                  30    62.52     2.87     0.06       19.39    21.06
D,req_100k                 30    65.50     3.48     0.05       19.50    19.54
D,req_1k                   30    63.52     2.51     0.05       19.57    21.24
D,resp_100k                30    15.27     0.25     0.03       13.18    14.81
D,resp_1k                  30    64.56     1.62     0.05       19.54    21.24
E,req_100k                 30    64.38     3.06     0.05       19.43    19.46
E,req_1k                   30    63.50     2.54     0.05       19.44    20.95
E,resp_100k                30    15.32     0.30     0.03       13.22    14.86
E,resp_1k                  30    63.72     2.73     0.05       19.63    21.05

per-byte slopes (fit over size-sweep medians):
  A resp:     4.93 ns/byte (  5.05 us/KB), intercept    1.02 ms
  A req:     5.54 ns/byte (  5.67 us/KB), intercept    0.93 ms
  B resp:     2.28 ns/byte (  2.33 us/KB), intercept   33.28 ms
  B req:     2.71 ns/byte (  2.77 us/KB), intercept   61.92 ms
  C resp:     2.40 ns/byte (  2.46 us/KB), intercept   32.19 ms
  C req:     2.53 ns/byte (  2.59 us/KB), intercept   63.47 ms

per-request constant (keep-alive deltas, using final-request totals):
  A ka1 total     0.88 ms (connection setup + 1 request)
  A ka10: marginal per-request     0.09 ms
  A ka100: marginal per-request     0.06 ms
  B ka1 total    62.84 ms (connection setup + 1 request)
  B ka10: marginal per-request    44.39 ms
  B ka100: marginal per-request    43.58 ms
  C ka1 total    63.00 ms (connection setup + 1 request)
  C ka10: marginal per-request    45.49 ms
  C ka100: marginal per-request    44.49 ms
